Age	Height	Weight	Sex
19  	61  	180  	0  
19  	70  	160  	0  
19  	70  	135  	0  
19  	71  	195  	0  
19  	64  	130  	1  
19  	64  	120  	1  
21  	69  	135  	1  
19  	67  	125  	0  
19  	62  	120  	1  
20  	66  	145  	0  
19  	65  	155  	0  
19  	69  	135  	1  
19  	66  	140  	0  
19  	63  	120  	1  
19  	69  	140  	0  
18  	66  	113  	1  
18  	68  	180  	0  
19  	72  	175  	0  
19  	70  	169  	0  
19  	74  	210  	0  
20  	66  	104  	1  
20  	64  	105  	1  
20  	65  	125  	1  
20  	71  	120  	1  
19  	69  	119  	1  
20  	64  	140  	1  
20  	67  	185  	1  
19  	60  	110  	1  
20  	66  	120  	1  
19  	71  	175  	0  
19  	65  	135  	1 
19  	70  	120  	0 
21  	69  	142  	0 
20  	63  	108  	1 
19  	63  	118  	1 
20  	72  	135  	0 
19  	73  	169  	0 
19  	69  	145  	0 
27  	69  	130  	1 
18  	64  	135  	0 
20  	61  	115  	1 
19  	68  	140  	0 
21  	70  	152  	0 
19  	64  	118  	1 
19  	62  	112  	1 
19  	64  	100  	1 
20  	67  	135  	1 
20  	63  	110  	1 
20  	68  	135  	0 
18  	63  	115  	1 
19  	68  	145  	0 
19  	65  	115  	1 
19  	63  	128  	1 
20  	68  	140  	1 
19  	69  	130  	0 
19  	69  	165  	0 
19  	69  	130  	0 
20  	70  	180  	0 
28  	65  	110  	1 
19  	55  	155  	0 
