W	V	T
48	5	50
40	10	50
35	15	50
32	20	50
30	25	50
28	30	50
27	35	50
26	40	50
25	45	50
25	50	50
36	5	40
29	10	40
23	15	40
18	20	40
15	25	40
13	30	40
11	35	40
10	40	40
9	45	40
8	50	40
27	5	30
18	10	30
10	15	30
4	20	30
-1	25	30
-5	30	30
-6	35	30
-7	40	30
-8	45	30
-9	50	30
17	5	20
5	10	20
-5	15	20
-10	20	20
-15	25	20
-18	30	20
-20	35	20
-21	40	20
-22	45	20
-23	50	20
5	5	10
-8	10	10
-18	15	10
-23	20	10
-28	25	10
-33	30	10
-35	35	10
-37	40	10
-39	45	10
-40	50	10
-5	5	0
-20	10	0
-29	15	0
-34	20	0
-38	25	0
-44	30	0
-48	35	0
-52	40	0
-54	45	0
-55	50	0
-15	5	-10
-30	10	-10
-42	15	-10
-50	20	-10
-55	25	-10
-60	30	-10
-65	35	-10
-68	40	-10
-70	45	-10
-72	50	-10
-25	5	-20
-43	10	-20
-55	15	-20
-64	20	-20
-72	25	-20
-76	30	-20
-80	35	-20
-83	40	-20
-86	45	-20
-88	50	-20
-35	5	-30
-55	10	-30
-70	15	-30
-79	20	-30
-88	25	-30
-92	30	-30
-96	35	-30
-100	40	-30
-103	45	-30
-105	50	-30
-46	5	-40
-68	10	-40
-83	15	-40
-94	20	-40
-105	25	-40
-109	30	-40
-113	35	-40
-117	40	-40
-120	45	-40
-123	50	-40
-56	5	-50
-80	10	-50
-97	15	-50
-108	20	-50
-118	25	-50
-124	30	-50
-130	35	-50
-135	40	-50
-139	45	-50
-142	50	-50
-66 	5	-60
-93	10	-60
-112	15	-60
-121	20	-60
-130	25	-60
-134	30	-60
-137	35	-60
-140	40	-60
-143	45	-60
-145	50	-60
