Date	DJIA	Time
1/1/96	5117.12	1
1/2/96	5177.45	2
1/3/96	5194.07	3
1/4/96	5173.84	4
1/5/96	5181.43	5
1/8/96	5197.68	6
1/9/96	5130.13	7
1/10/96	5032.94	8
1/11/96	5065.10	9
1/12/96	5061.12	10
1/15/96	5043.78	11
1/16/96	5088.22	12
1/17/96	5066.90	13
1/18/96	5124.35	14
1/19/96	5184.68	15
1/22/96	5219.36	16
1/23/96	5192.27	17
1/24/96	5242.84	18
1/25/96	5216.83	19
1/26/96	5271.75	20
1/29/96	5304.98	21
1/30/96	5381.21	22
1/31/96	5395.30	23
2/1/96	5405.06	24
2/2/96	5373.99	25
2/5/96	5407.59	26
2/6/96	5459.61	27
2/7/96	5492.12	28
2/8/96	5539.45	29
2/9/96	5541.62	30
2/12/96	5600.15	31
2/13/96	5601.23	32
2/14/96	5579.55	33
2/15/96	5551.37	34
2/16/96	5503.32	35
2/19/96	5503.32	36
2/20/96	5458.53	37
2/21/96	5515.97	38
2/22/96	5608.46	39
2/23/96	5630.49	40
2/26/96	5565.10	41
2/27/96	5549.21	42
2/28/96	5506.21	43
2/29/96	5485.62	44
3/1/96	5536.56	45
3/4/96	5600.15	46
3/5/96	5642.42	47
3/6/96	5629.77	48
3/7/96	5641.69	49
3/8/96	5470.45	50
3/11/96	5581.00	51
3/12/96	5583.89	52
3/13/96	5568.72	53
3/14/96	5586.06	54
3/15/96	5584.97	55
3/18/96	5683.60	56
3/19/96	5669.51	57
3/20/96	5655.42	58
3/21/96	5626.88	59
3/22/96	5636.64	60
3/25/96	5643.86	61
3/26/96	5670.60	62
3/27/96	5626.88	63
3/28/96	5630.85	64
3/29/96	5587.14	65
4/1/96	5637.72	66
4/2/96	5671.68	67
4/3/96	5689.74	68
4/4/96	5682.88	69
4/5/96	5682.88	70
4/8/96	5594.37	71
4/9/96	5560.41	72
4/10/96	5485.98	73
4/11/96	5487.07	74
4/12/96	5532.59	75
4/15/96	5592.92	76
4/16/96	5620.02	77
4/17/96	5549.93	78
4/18/96	5551.74	79
4/19/96	5535.48	80
4/22/96	5564.74	81
4/23/96	5588.59	82
4/24/96	5553.90	83
4/25/96	5566.91	84
4/26/96	5567.99	85
4/29/96	5573.41	86
4/30/96	5569.08	87
5/1/96	5575.22	88
5/2/96	5498.27	89
5/3/96	5478.03	90
5/6/96	5464.31	91
5/7/96	5420.95	92
5/8/96	5474.06	93
5/9/96	5475.14	94
5/10/96	5518.14	95
